as_of,mpp_name,riding,income,assets,liabilities,gifts,offices
"September 01, 2020",Jeff Burch,Niagara Centre,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",Jeff Yurek,Elgin-Middlesex-London,"Salary - Legislative Assembly of Ontario, Minister.
Investment income.","Management trust dated October 11, 2018.","Mortgage - Bank of Nova Scotia.
Guarantor on loans to Yurek Pharmacy Limited and Yurek Specialties Limited - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",Jennifer French,Oshawa,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - Oshawa Community Credit Union.",Nil.,Nil.
"September 01, 2020",Jennifer Stevens,St. Catharines,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - First Ontario Credit Union.",Nil.,Nil.
"September 01, 2020",Jeremy Roberts,Ottawa West-Nepean,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Line of credit - TD Canada Trust.,Nil.,Nil.
"September 01, 2020",Jessica Bell,University-Rosedale,Salary - Legislative Assembly of Ontario.,Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Jill Andrew,Toronto-St. Paul's,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage - Alterna Savings and Credit Union.
Line of credit - TD Bank.",Nil.,Nil.
"September 01, 2020",Jill Dunlop,Simcoe-North,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,"Mortgage, Line of Credit - TD Bank.",Nil.,Nil.
"September 01, 2020",Jim McDonell,Stormont-Dundas-South Glengarry,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Pension - Bell Canada.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Jim Wilson,Simcoe-Grey,Salary - Legislative Assembly of Ontario.,Nil.,Line of credit - Bank of Montreal.,Nil.,Nil.
"September 01, 2020",Joel Harden,Ottawa Centre,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage - TD Canada Trust.,Nil.,Nil.
"September 01, 2020",John Fraser,Ottawa South,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - TD Bank.
Mortgage - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",John Vanthof,Timiskaming-Cochrane,"Salary - Legislative Assembly of Ontario.
Rental income.","Agricultural property: Lots 8 and 9 Concession 1, Evanturel - 50% interest.
Investment and registered accounts:
Shares - Gay Lea Foods.","Mortgage, Line of credit - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",John Yakabuski,Renfrew-Nipissing-Pembroke,"Salary - Legislative Assembly of Ontario, Minister.","PJ Wye Holdings Ltd. - 100% interest (inactive).
969041 Ontario Limited - 58% interest (inactive).
(Pursuant to section 13 of the Members’ Integrity Act, 1994 the Integrity Commissioner has ruled that Minister Yakabuski is not required to place PJ Wye Holdings Ltd. and his interest in 969041 Ontario Limited in trust on the condition that they remain inactive.)",Nil.,Nil.,"President - PJ Wye Holdings Ltd. (inactive).
President - 969041 Ontario Limited. (inactive).
(Pursuant to section 13 of the Members’ Integrity Act, 1994 the Integrity Commissioner has ruled that Minister Yakabuski is not required to resign his positions with PJ Wye Holdings Ltd. and 969041 Ontario Limited on the condition that they remain inactive.)"
"September 01, 2020",Judith Monteith-Farrell,Thunder Bay - Atikokan,"Salary - Legislative Assembly of Ontario.
Pensions - Public Service Alliance of Canada, Canada Pension Plan, CPP survivor benefit.",Nil.,Mortgage - Canadian Imperial Bank of Commerce.,Nil.,Nil.
"September 01, 2020",Kaleed Rasheed,Mississauga East-Cooksville,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - Canadian Imperial Bank of Commerce.",Nil.,Nil.
"September 01, 2020",Kathleen Wynne,Don Valley West,"Salary - Legislative Assembly of Ontario.
Rental income.","Investment property - 556 Priddle Road, Newmarket, ON.","Mortgage, Line of credit - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",Kevin Yarde,Brampton North,"Salaries - Legislative Assembly of Ontario, Nationwide Security Ltd.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Kinga Surma,Etobicoke Centre,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,"Mortgage - ICICI Bank.
Line of Credit - TD Canada Trust.",Nil.,Nil.
"September 01, 2020",Laura Mae Lindo,Kitchener Centre,Salary - Legislative Assembly of Ontario.,Nil.,Line of Credit - TD Bank.,Nil.,Nil.
"September 01, 2020",Laurie Scott,Haliburton-Kawartha Lakes-Brock,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Lindsey Park,Durham,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,"Line of credit - Bank of Montreal.
Loan - Ontario Student Assistance Program.",Nil.,Director - Durham Provincial PC Association.
"September 01, 2020",Lisa Gretzky,Windsor West,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - TD Canada Trust.",Nil.,Nil.
"September 01, 2020",Lisa MacLeod,Nepean,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,"Mortgage, Line of credit - Royal Bank of Canada.",Minister MacLeod received a commemorative bottle of Canadian Club Whisky from the Hiram Walker Museum as part of a tour.,Nil.
"September 01, 2020",Lisa Thompson,Huron-Bruce,"Salary - Legislative Assembly of Ontario, Minister.
Income - cash crops, breeding stock sales.",Nil.,Mortgage - Bank of Montreal.,Nil.,Nil.
"September 01, 2020",Logan Kanapathi,Markham-Thornhill,"Salary - Legislative Assembly of Ontario.
Rental income.","Investment properties:
24 Ladyburn Drive, Keswick, ON - 100% interest;
Unit, 7400 Markham Road, Markham, ON - 50% interest.
Private company - 1756845 Ontario Inc. (medical practice) - 50% interest (active).","Mortgage, Line of credit - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",Lorne Coe,Whitby,"Salary - Legislative Assembly of Ontario.
Pensions - Ontario Pension Board, CPP.","Investment and registered accounts:
Shares - Amazon.com Inc., Cognizant Technology Solutions Corp, Nutrien Ltd., Sea Ltd., United Parcel Service Inc., Alphabet Inc., Berkshire Hathaway Inc., Canadian Pacific Railway Ltd., Check Point Software Technologies Ltd., Conagra Brands Inc., Dollarama Inc., Duke Energy Corporation, Enbridge Inc., FedEx Corp., General Dynamics Corp., Manulife Financial Corp., Marathon Petroleum Corp., McDonalds Corp., Merck & Co Inc., Microsoft Corp., Molson Coors Beverage Company, Pfizer Inc. Toronto-Dominion Bank, Visa Inc., Walt Disney Company, Welltower Inc., Zimmer Biomet Holdings Inc.",Nil.,Nil.,Nil.
"September 01, 2020",Lucille Collard,Ottawa-Vanier,"Salary - Legislative Assembly of Ontario.
Trustee remuneration - Conseil des écoles publiques de l'Est de l'Ontario (resigned February 27, 2020).
Pension - Government of Canada.",Nil.,"Mortgage, Lines of credit - Desjardins.",Nil.,Nil.
"February 27, 2020",Lucille Collard,Ottawa-Vanier,"Salary - Government of Canada (resigned July 31, 2019).
Trustee remuneration - Conseil des écoles publiques de l'Est de l'Ontario (resigned February 27, 2020).",Nil.,"Mortgage, Lines of credit - Desjardins.",Nil.,Nil.
"September 01, 2020",Marit Stiles,Davenport,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Sector-specific fund - BMO Weighted Banks Index.","Mortgage - TD Bank.
Mortgage, Lines of credit - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",Merrilee Fullerton,Kanata-Carleton,"Salary - Legislative Assembly of Ontario, Minister.
Income - Steve Kaminski Family Trust.
Investment income.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Michael Coteau,Don Valley East,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - TD Bank.",Nil.,Nil.
"September 01, 2020",Michael Gravelle,Thunder Bay-Superior North,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - Canadian Imperial Bank of Commerce.",Nil.,Nil.
"September 01, 2020",Michael Mantha,Algoma-Manitoulin,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage - First National.,Nil.,Nil.
"September 01, 2020",Michael Parsa,Aurora-Oak Ridges-Richmond Hill,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Mortgage - Royal Bank of Canada.,"MPP Parsa was a member of a delegation to Taiwan and accepted the following from the Taipei Economic & Cultural Office: travel, meals and accommodation.",Nil.
"September 01, 2020",Michael Tibollo,Vaughan-Woodbridge,"Salary - Legislative Assembly of Ontario, Minister.","Management trust dated February 19, 2021.
Investment property (in trust for Yonge Street Holdings Limited) - 48 Mill Street North, Brampton, ON.
(Pursuant to section 15 (2) (c) of the Members' Integrity Act, 1994, the above investment property was acquired prior to Minister Tibollo's appointment to the Executive Council.)
Investment and registered accounts:
Membership and profit sharing shares - Duca Financial Services Credit Union. (Pursuant to s.13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Tibollo is not required to place these equities in trust)","Guarantor for Silvana Tibollo - Toronto Capital, Home Trust, Priscilla Gurrucharran.
Guarantor for Yonge Street Holdings Limited - Bank of Montreal, TD Bank, Sheldon Barris.
Guarantor for Immobiliare MSF Inc. - Bank of Montreal, Fred Asta, Martina Asta.
Guarantor for Trimatrix - TD Bank.
Lines of credit - National Bank of Canada, Duca Financial Services Credit Union.
Mortgage - TD Bank.",Nil.,Nil.
"September 01, 2020",Mike Harris,Kitchener-Conestoga,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Mortgage - Bank of Montreal.,Nil.,Nil.
"September 01, 2020",Mike Schreiner,Guelph,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgages - Bank of Nova Scotia, Canadian Imperial Bank of Commerce.
Mortgage, Line of credit - Meridian Credit Union.",Nil.,Nil.
"September 01, 2020",Mitzie Hunter,Scarborough-Guildwood,"Salary - Legislative Assembly of Ontario.
Rental income.","Investment property - Unit, 168 King Street East, Toronto, ON - 100% interest.
Investment and registered accounts:
Shares - BCE Inc.
Sector specific funds - TD Health Sciences, TD Global Entertainment & Communications.","Mortgage - Bank of Montreal.
Line of credit - Royal Bank of Canada.",Nil.,Nil.
"September 01, 2020",Monique Taylor,Hamilton Mountain,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Loan - TD Bank.",Nil.,Nil.
"September 01, 2020",Monte McNaughton,Lambton-Kent-Middlesex,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,"Mortgage, Line of credit - Royal Bank of Canada.","1. With the approval of the council of the Municipality of Southwest Middlesex, Mr. McNaughton receives and uses one half-day per week municipality-owned office space in order for his constituency staff to meet with constituents.
2. With the approval of the council of the Municipality of Lambton Shores, Mr. McNaughton receives and uses one half-day per week municipality-owned office space in order for his constituency staff to meet with constituents.
3. In his capacity as Minister of Labour, Mr. McNaughton received a glass plate from the Government of Turkey.",Nil.
"September 01, 2020",Natalia Kusendova,Mississauga Centre,"Salaries - Legislative Assembly of Ontario, William Osler Health System.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Nina Tangri,Mississauga-Streetsville,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Commissions - Nina Tangri Insurance Brokers Ltd.
Rental income.","Investment Property - 6 McLellan Court, Coventry, UK - 50% interest.
Nina Tangri Insurance Brokers Ltd. - 100% interest (active).
Virgo Developments Inc. - 100% interest (active).
Shares - Manulife Financial Corp.","Lines of credit, Loan - Manulife Bank.
Guarantor for Ram Kumar Tangri - Meridian Credit Union.","MPP Tangri was a member of a delegation to Taiwan and accepted the following from the Taipei Economic & Cultural Office: travel, meals and accommodation.","President, Nina Tangri Insurance Brokers Ltd."
"September 01, 2020",Norm Miller,Parry Sound-Muskoka,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","Investment and registered accounts:
Shares - Algoma Central Corp., Bank of Montreal, BCE Inc., Royal Bank of Canada, Telus Corp., Toronto-Dominion Bank.",Line of credit - Scotiabank.,Nil.,Nil.
"September 01, 2020",Parm Gill,Milton,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Rental income.","Investment Property - Unit, 90 George Street, Ottawa - 100% interest.
Private Company - Impact Design & Develop Inc. - 100% interest (inactive).",Mortgage - TD Bank.,Nil.,Nil.
"September 01, 2020",Paul Calandra,Markham-Stouffville,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,"Line of credit, Guarantor for Melanie Calandra - TD Bank.",Nil.,Nil.
"September 01, 2020",Paul Miller,Hamilton East-Stoney Creek,"Salary - Legislative Assembly of Ontario.
Pensions - U.S. Steel Canada Inc. (formerly Stelco), CPP.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Peggy Sattler,London West,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2020",Percy Hatfield,Windsor-Tecumseh,"Salary - Legislative Assembly of Ontario.
Pensions - OMERS, CBC, CPP.
Rental income.","Investment property - 9700 Melville Drive, Windsor, ON - 50% interest.
Investment and registered accounts:
Sector-specific funds - BMG Gold Bullion, TD Entertainment & Communications.","Mortgage, Line of credit - TD Bank.",Nil.,Nil.
"September 01, 2020",Peter Bethlenfalvy,Pickering - Uxbridge,"Salary - Legislative Assembly of Ontario, Minister.
Investment income.
Rental income.","Management trust dated October 30, 2018.",Line of credit - TD Bank.,Nil.,Nil.
"September 01, 2020",Peter Tabuns,Toronto-Danforth,"Salary - Legislative Assembly of Ontario.
Pension - OMERS.
Investment income.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Prabmeet Singh Sarkaria,Brampton South,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Mortgage - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2020",Randy Hillier,Lanark-Frontenac-Kingston,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of Credit - TD Bank.",Nil.,Nil.
"September 01, 2020",Randy Pettapiece,Perth-Wellington,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Pension - CPP.",Nil.,Mortgage - Bank of Nova Scotia.,"MPP Pettapiece was a member of a delegation to Taiwan and accepted the following from the Taipei Economic & Cultural Office: travel, meals and accommodation.",Nil.
"September 01, 2020",Raymond Cho,Scarborough North,"Salary - Legislative Assembly of Ontario, Minister.
Pensions - OMERS, City of Toronto, CPP.
Investment income.",Nil.,Nil.,Nil.,Global Youth Leaders - Founder.
"September 01, 2020",Rick Nicholls,Chatham-Kent-Leamington,"Salary - Legislative Assembly of Ontario.
Pension - CPP.","Private company - Nicholls Training Group - 100% interest (inactive).
Investment and registered accounts:
Shares - Enbridge Inc., Toronto Dominion Bank, Whitecap Resources Inc.",Nil.,Nil.,Nil.
"September 01, 2020",Rima Berns-McGown,Beaches-East York,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - Canadian Imperial Bank of Commerce.",Nil.,Nil.
